"Nuts! Oh well, no kids for me.",¡Mis huevos! No más hijos para mí.
Whoa. Something just hit me in the face.,Hey. Algo me golpeó la cabeza.
What just hit me in the head?,¿Que me ha golpeado en la cabeza?
Ngggg,Ngggg
"Glad I'm dusted on Jet, or that would have hurt.","Menos mal que estoy hasta arriba de Jet, o eso habría dolido."
Owwwww! Somebody get me a stimpack! Or some Jet!,¡Ayyyyy! ¡Que alguien me dé un estimulante! ¡O algo de Jet!
Hey! Somebody just hit my arm!,¡Hey! ¡Alguien me golpeó en el brazo!
"Look, my arm is for needles only. Stop attacking it.","Oye, que mi brazo sólo sirve para pincharme. Deja de atacarlo."
Nggggg,Nggggg
My spleen!,¡Mis costillas!
"Ow! Owwww, my stupid chest! Ow!","¡Ay!¡Ayyyyy!¡Ay, mi maldito pecho! ¡Ay!"
"Hey! What did you hit me in the chest for, asshole?!","¡Oye! ¿Por qué me has herido en el pecho, gilipollas?"
Stop hitting me in the chest!,¡Deja de golpearme en el pecho!
Whoa. My chest. You hit it. Cool.,Hey. Mi pecho. Lo has herido. Genial.
Nrgggg,Nrgggg
Hey! Somebody just hit my leg!,¡Hey! ¡Alguien me golpeó en la pierna!
Hey! I walk with that leg!,¡Oye! ¡Yo camino con esa pierna
That didn't FEEL like a needle in my eye...,Eso no ha PARECIDO un pinchazo en el ojo...
Hey! I see with that eye!,¡Oye! ¡Yo veo con ese ojo!
My eyes! My eyes! My eyes hurt!,¡Mis ojos! ¡Mis ojos! ¡Mis ojos duelen!
"I'm so dusted on Jet, I barely felt that. Oh...no, wait.",Estoy tan hasta arriba de Jet que apenas sentí eso. Oh... no es cierto.
"Kick me in the groin, will you?!",¡Anda! ¡Patéame en mis partes! ¡Anda!
That...hurt...a...LOT.,Eso... me... dolió... MUCHO.
I hope my groin just went to genital heaven.,Espero que mis partes vayan al cielo de los genitales.
"Hmm, uh, stop!","Hmm, uh, ¡para!"
I really hoped it wouldn't come to this...,De verdad que me hubiera gustado no haber llegado a esto...
I guess I have to defend myself,Supongo que me debería defender.
You asked for this!,¡Tú lo pediste!
"I didn't want this fight, but...","No quería esta pelea, peeero..."
You cad!,¡Canalla!
You missed me!,¡No me diste!
"Wow, that could have hurt!",¡Wow! ¡Eso habría dolido!
Whew! I'm still alive!,¡Buf! ¡Sigo vivo!
Hey! That could have hurt!,¡Hey! ¡Eso habría dolido!
"Attack someone else, please!","¡Por favor, ataca a otro!"
I ain't dyin' for this!,¡No he hecho nada para merecer esto!
Wait til I get you...,Espera a que te alcance...
You're not welcome here,No eres bienvenida aquí.
Nobody's taking this place over...,Nadie arrasará este lugar...
This is what we do to vermin!,¡Esto es lo que le hacemos a las alimañas!
You mutant freak!,¡Maldito fenómeno mutante!
You bastard!,¡Zorra!
Gonna feed you to the dogs,Te usaré como alimento para los perros.
This'll learn ya!,¡Con esto aprenderás!
Fine. You asked for this.,Bien. Tú lo pediste.
You deserve what's coming to you!,¡Te mereces lo que te va a pasar!
I've seen smarter Brahmin than you,He visto brahmines más inteligentes que tú.
Whew!,¡Buf!
You missed!,¡Fallaste!
This ain't worth it!,¡No vale la pena!
You got the better of me...this time,Tendrás lo mejor de mí... en otro momento.
You'll get what's coming to you!,¡Tendrás lo que te mereces!
Who let you in here?,¿Quien te dejó entrar aquí?
We don't like your kind around here!,¡No nos gustan los de tu clase por aquí!
Good-bye!,¡Nos vemos!
Troublemaking scum!,¡Escoria problemática!
You're not as good as you think,No eres tan buena como crees.
Later punk!,"¡Luego, escoria!"
"This was fun, but I'm gone!","¡Fue divertido, pero me voy!"
You'll pay for this - later!,¡Pagarás por esto... más tarde!
Let's do this again soon!,¡Repitamos esto otro día!
I'm gonna pin your ears back!,¡Voy a dejarte las orejas al revés!
I'm gonna settle your hash!,¡Voy a ponerte en tu lugar!
Gonna get cha!,¡Voy a atraparte!
Please don't beg. Death should be dignified.,"Por favor, no supliques. La muerte debe ser honorable."
I hope you don't die too quick,Espero que no mueras muy pronto.
Got any last words?,¿Alguna última palabra?
Die! Die! Die! Die! Die!,¡Muere! ¡Muere! ¡Muere! ¡Muere! ¡Muere!
Let's open you up a little...,Vamos a abrirte un poquito...
"You're dogfood, friend.","Serás comida para perros, amiga."
You bore me to tears,Me aburres hasta tal punto que lloro.
"C'mon, punk. Give me a fight!","Venga, basura. ¡Pelea bien!"
Is that the best you can do?,¿Es eso lo mejor que puedes hacer?
This is gonna be easier than I thought,Esto será más fácil de lo que había creído.
I'm outta here!,¡Me largo de aquí!
"Attack someone else, okay!","¡Ataca a algún otro, ¿vale?"
Yikes!,¡Uff!
You need to learn some respect!,¡Necesitas tener un poco más de respeto!
Time to earn my pay...,Hora de ganarme el sueldo...
Why'd you go and hafta do that?,¿Por qué tuviste que ir y hacer eso?
Feels good huh?,"Sienta bien, ¿eh?"
Where's your mama now?,¿Dónde está tu mamá ahora?
Take it all!,¡Toma esto!
Let's see how tough you are...,Vamos a ver lo dura que eres...
Punk,Basura.
Skag!,¡Colgada!
Your Mamma teach you that move?,¿Tu mamá te enseñó ese movimiento?
You just suck!,¡Simplemente apestas!
Amateur,Principiante.
Gotta get outta here!,¡Debo salir de aquí!
I'll be back...,Volveré...
You ain't killing me today!,¡No me matarás hoy!
You ain't seen the last of me!,¡No será la última vez que me veas!
Everybody! It's target practice!,"¡Eh, todo el mundo! ¡Ésta es una diana!"
I'm going to enjoy this...,Voy a disfrutar esto...
Don't bother screaming for mercy...,No te molestes en suplicar misericordia...
You want more of this!!! Huh?!,¡¿¡Quieres mas de esto!?! ¡¿Eh?!
Shouldn't start what you can't finish,No debiste empezar lo que no puedes terminar.
Hope you don't die too quick,Espero que no mueras muy pronto.
I'm gonna feed you to my pet iguana,Te usaré para alimentar a mi iguana.
Just pathetic...,Simplemente patético...
Loser,Perdedora.
The dark-spirit runs strong in this one. Death walks the earth!,El Espíritu Oscuro es más poderoso ahora. ¡La muerte camina sobre la tierra!
The dark one is here!,¡El Espíritu Oscuro está aquí!
The dark one seeks to punish us. Run! My soul flees and I must follow!,El Oscuro quiere castigarnos. ¡Corred!
 Aiiieeeee!!,¡¡Ayyyyyy!!
Ancestor guide my weapon arm!,¡Mi Ancestro guía mi brazo!
Great will be my glory.,Tu derrota será mi gloria.
I shall dishonor your tribe.,Le arrebataré el honor a tu tribu.
Spirits be with me!,¡Que los Espíritus estén conmigo!
"Come, let our blades dance.","Ven, y que nuestras espadas dancen."
The spirits are with me!,¡Los Espíritus están conmigo!
Your defeat will bring me great honor. My magic knows not defeat!,Tu derrota me traerá gran honor.¡Mi magia aún no conoce la derrota!
I do not fear you!,¡No te temo!
"I bring you peace, lost one.","Te traeré paz, Perdida."
"Glory in battle buys life everlasting! I honor you, strange one.","La gloria en la batalla aporta más vida. Gracias, extranjera."
The mists beckon to you.,La niebla te rodea.
Let us drink from the cup of battle!,¡Déjanos beber de la copa de la batalla!
 Your eyes are clouded with hatred.,Tus ojos están nublados por el odio.
 Your spirits have abandoned you.,Tus Espíritus te han abandonado.
 Our magic is working!,¡Nuestra magia está funcionando!
 Your life-force is weakening!,¡Tu aura vital se está debilitando!
 Fear is the mind-killer ,El miedo es el asesino de mentes. 
 My battle-song is working!,¡Mi canto de batalla está funcionando!
 Our children know more of battle!,¡Nuestros niños saben más que tú sobre una batalla!
 You have known peace too long.,Has conocido la paz demasiado tiempo.
 Are all of your tribe so weak?,¿Todos los de tu tribu son tan débiles?
They can court martial me..,Pueden hacerme un consejo de guerra...
Fall back! Fall back!,¡Retroceded! ¡Retroceded!
You may have won the battle...,Puede que hayas ganado la batalla...
Attack!,¡Ataque!
Let's bury this loser!,¡Vamos a enterrar a esta perdedora!
Lock and Load!,¡Preparados!
This ain't just a job to us,Esto no es solo un trabajo para nosotros.
You better pray to the gods!,¡Mejor que le reces a los dioses!
Feel good?,¿Te encuentras bien?
C'mon loser. Gimme a fight!,"Anda, perdedora. ¡Dame una pelea!"
Civilian...,Civil...
Flee! Flee!,¡Huid!¡Huid!
Regroup!,¡Reagruparse!
Fall back!,¡Retroceder!
Withdraw!,¡Sálvese quien pueda!
Kill this fool!,¡Matad a esta idiota!
Plunder!,¡Destripadla!
This one's mine!,¡Esta es mía!
Blood! Blood! Blood!,¡Sangre! ¡Sangre! ¡¡SANGRE!!
RAAAAAAARRRR!!,¡¡RAAAAAAARRRR!!
You are mine to kill!,¡Te mataré yo mismo!
Your bones shall bleach in the wastes!,Tus huesos relucirán en el Yermo!
Drill the scraggin' bastard!,¡Masacrad a la zorra!
Wasted effort!,¡Vano esfuerzo!
You have failed!,"¡Fallaste, idiota!"
I live!!,¡¡Estoy vivo!!
Tactical analysis complete. Retreat recommended.,Análisis táctico completo. Se recomienda retirada.
Target acquired!,¡Blanco adquirido!
Analysis. Target offense negligible.,Análisis. Ataque del enemigo ineficiente.
Analysis. Target erred in tactical selection. Unit undamaged,Análisis. El blanco falló en el proceso táctico de ataque. Unidad no dañada.
Gotta get outa here!,¡Hay que largarse de aquí!
"Later, normie!","¡Más tarde, normal!"
You ain't heard the last of me!,¡No será lo último que oigas de mí!
I ain't dyin' twice.,No moriré otra vez.
I'm just executing a retrograde advance.,Solo estoy ejecutando un avance retrogrado.
"Exit, stage left.","Salida, el fondo a la izquierda."
It's later than I thought.,Es más tarde de lo que creí.
Run awaaaaay!,¡Correeeeeeeeeer!
I've gotta go reattach some parts.,Tengo que asegurar algunas extremidades.
These old bones can't take this anymore.,Estos viejos huesos no pueden soportar esto mucho más.
"It's not the years, it's the mileage.","No son los años, son los milenios."
"What a world, what a world....","Qué mundo éste, qué mundo éste...."
"I guess, you've learned your lesson, I'm outa here!",Creo que aprendiste la lección. ¡Ahora me largo de aquí!
"Hey, stop backing away from me.","Oye, deja de alejarte de mí."
"Beef, beef, beef--beef bologna!","¡Carne, carne, carne, carne a la boloñesa!"
Hope I can keep your head intact...,Espero que puedas mantener tu cabeza intacta...
Send more cops!,¡Envíen más policías!
Send more paramedics!,¡Envíen más paramédicos!
I could use some fresh parts.,Podría usar algunas extremidades frescas.
Steak Tartar comin' up.,Un emparedado de nudillos saliendo...
Come an' get it!,¡Ven a por él!
Is it soup yet?,¿Ya está la sopa?
"Mmm, I just love smoothskins.",Muchos más cerebros...
You crossed my shadow...or sumthin',Has cruzado mi línea... más o menos
I knew I heard the chow-bell.,Sabía que había escuchado la llamada a comer.
Guess who's comin' to dinner.,Adivina quién viene a comer.
Parts is parts.,Todos los trozos sirven.
"So, you're my next organ donor huh?","Así que, ¿eres mi nueva donante de órganos?"
Your number is up!,¡Ha salido tu número!
I'm gonna enjoy this,Disfrutaré esto.
"Oooo, that's gotta hurt!","Oooo, ¡eso va a doler!"
Slicin' & Dicin' time.,Hora de despedazar y mutilar.
I'm gonna eat your liver!,¡Me comeré tu hígado!
Dinnertime!,¡Hora de la cena!
"I eat punks like you for breakfast, and lunch",Desayuno escoria como tú... también los almuerzo.
Lemme' just have a taste!,"Anda, ¡déjame probar sólo un pedazo!"
"Give Daddy some sugar, baby!","¡Dale a papá un poco de azúcar, muñeca."
Stay still! It'll hurt less.,¡Quédate quieto! Dolerá menos.
"Stop your twitchin', the chef's in the kitchen!","¡Deja de moverte, el chef está en la cocina!"
Delicious & nutritious too!,¡Además es delicioso y nutritivo!
You sure bleed a lot. Must be tender & juicy.,Seguro que sangras mucho. Debes ser sensible y jugosa.
You cannot hurt me!,¡No puedes hacerme daño.
And you think *Ghouls* are slow?,¡Y crees que los necrófagos son lentos?
You can't kill what you can't hit!,¡No puedes matar lo que no puedes herir!
Were you actually aiming at me?,¿Me estabas apuntando a mí?
This is not a charade.,Esto no es una charada.
Combat requires total concentration.,El combate requiere total concentración.
Shame that your first time is gonna' be your last too.,Es una pena que tu primera vez sea la última.
Are you lookin' at me?,¿Me estás mirando siquiera?
You wanna try this again when you know what you're doin'?,"¿Quieres intentar esto más tarde, cuando sepas lo que haces?"
"No, no, no, the *pointy-end* goes towards *me.* Got it?","No, no, no. El punto de mira debe apuntarme a mí. ¿Comprendes?"
"What were you aimin' at, or were you aimin' at all?",¿A qué le estabas apuntando? ¿O acaso le apuntas a TODO?
What is your major malfunction numb-nuts?,"¿Qué es lo que peor te funciona, tarada?"
You ain't never did this before have ya?,"Nunca has hecho esto antes, ¿verdad?"
My turn's next!,¡Mi turno!
"Was that really your *best* shot? Man, are you in trouble.","¿Ese fue tu mejor disparo? Caramba, tienes problemas."
Whoa. I am SO outta here.,Hey. Mejor me voy.
Aieeeeeee! Don't hurt me! Don't hurt me!,¡Aayyyyyyyy! ¡No me lastimes! ¡No me lastimes!
This hallucination just became way too real for me...,Esta alucinación se está volviendo demasiado real...
You better hope you have some stimpacks...or some Jet.,Mejor que tengas algunos estimulantes... o algo de Jet.
Maybe I can sell your body for some Jet...,Quizá podré vender tu cuerpo por algo de Jet...
Gonna...hit...you...when...I...catch...you.,Te... golpearé... cuando... te... atrape.
Maybe killing you will be the fix I need...,Tal vez matarte sea el arreglo que necesito...
Hiyaaaaaa,Hiyaaaaaa
You're going down like a 2-cap whore...,Caerás como una ramera de 2 pavos...
"Close, but no Jet.","Cerca, pero no hay premio."
"I'm so high, you'll never touch me!",¡¡Soy demasiado grande! !¡Nunca podrás tocarme!
Which one of me are you aiming at?,¿A cual de todos los yo le estabas apuntando?
Whoa. Nearly got me.,Hey. Casi me dio.
I knew that Jet would make me faster...,Sabía que ese Jet me haría mas rápido...
Hut hut hut hut hut hut,Vamos vamos vamos vamos vamos
Kiss your ass good-bye...,Bésame el culo y di adiós...
Time to dust this mother fucker...,Hora de joder a esta hija puta...
Lock and load!,¡Preparados!
Rock and roll!,¡Rock'n'Roll!
Look who just walked into the free fire zone...,Mira quién ha entrado en la zona de disparo libre...
Waste 'em!,¡Destruidla!
You want some of this?! YOU WANT SOME OF THIS?!,¿¡Quieres algo de esto!? ¿¡QUIERES ALGO DE ESTO!?
You fight like old people fuck!,¡Peleas como una vieja idiota!
You're gonna be a long time dying...,Vas a agonizar mucho tiempo...
Sloppy...,Chapucera...
"Weak AND slow, I see.","Por lo que veo, débil y lenta."
"Ah, dinner's arrived.",La cena está lista.
I'm gonna beat you until you're ugly.,Te golpearé hasta volverte fea.
Let me show you what we do with garbage around here...,Déjame mostrarte qué hacemos con la basura por aquí...
I've had enough of this turd...,Ya me he cansado de esta tarada...
You blind and stupid?,"Además de estúpida, ¿eres ciega?"
You flying on Jet or something?,"¿Estas drogada con Jet, o algo así?"
My...arm...my...beautiful...arm.,Mi... brazo... mi... precioso... brazo.
Hnrgggg,Hnrgggg
My eye! My beautiful eye!,¡Mi ojo! ¡Mi hermoso ojo!
Now I can't sound off like a got a pair.,Ahora no puedo decir que soy todo un hombre...
Great. A player character with a ball fixation.,Genial. Una golfa con fijación por las pelotas.
Nuts!,¡Mis pelotas!
You're already dead...,Estás muerta...
I can't see! You bastard!,"¡No puedo ver, zorra!"
::whimper::,::gime::
You are truly mighty. Goodbye.,Eres realmente buena. Adiós.
Chop-socky!,¡WatakatakataKAA!
You call that fighting?,¿Llamas a eso pelear?
I'm looking for a green-eyed girl... goodbye!,Estoy buscando a una muchacha de ojos verdes y... ¡ADIÓS!
"Okay, you win!",¡Tú ganas!
Lightning! Thunder! Kill them for me!,¡Rayos y truenos! ¡Matadla por mí!
"Flee, worm!","¡Corre, escoria!"
The thunder rolls toward you!,¡El trueno está delante tuyo!
Give me your best shot.,Muéstrame tu mejor disparo.
"Oh, is that your face?","Oh, ¿eres tan fea?"
Bastard! I'll sodomize you for that!,¡Zorra! ¡Te sodomizaré por eso!
"Bend over and grab your ankles, bub!","¡Inclínate y sujétate los tobillos, pimpollita!"
"Boy, you are a bleeder, aren't ya?","Chica, eres de esas que sangran mucho, ¿no es así?"
"You broke the shirt, man!!!!","¡¡¡¡Amiga, me has roto la camisa!!!!"
"Holy gee, I wanted to lick 'em!","Santo cielo, yo sólo quería lamerlo"
You are SO dead.,Vas a estar MUY muerta.
"Next rank, step in!","¡Ya llega alguien superior, nos vemos!"
Run away!,¡Sálvese quien pueda!
Prepare to be dishonored.,Prepárate a ser deshonrada.
Here comes the Porkchop Express.,¡Aquí viene el Expreso Nudillo!
"One ex-gaijin, coming up!",¡Viene una antigua gaijin!
Gaijin fool!,¡Gaijin loca!
But I'm famous!,Pero... ¡soy famoso
You could've been one of us.,Podrías haber sido una de nosotros.
Unworthy and impure.,Indigna e impura.
"If OZ-9 says you're bad, you must be bad.","Si OZ-9 dice que eres mala, entonces debes ser mala."
Go on! Get out of here!,¡Venga! ¡Vete de aquí!
Ow! My ulna!!,¡Ay! ¡¡Mi meñique!
::panting::,::Jadea::
You don't have to do this...,No tienes que hacer eso...
"Oooh, my femur!",¡Mi fémur!
That'll be a limper..,Eso me va a provocar una cojera.
Unh! Aiming a little low aren't you?,"¡Uungh! Estás apuntando bajo, ¿no es así?"
You weren't trying to hit my leg were you!?!,"No intentabas golpear la pierna de Kaga, ¿verdad?"
"Oooooo, time out, I have to pick something up","Oooooohh, tiempo muerto, Kaga tiene que recoger algo"
Urg! Petey! You OK down there?,¡Urg! ¡Petey! ¿Estás bien ahí abajo?
Another Chosen One to kill!,¡Otra Elegida para matar!
You and Kaga will meet again,Tú y Kaga os encontraréis de nuevo
I'm gonna carve your heart out with a spoon!,¡Kaga arrancará tu corazón con una cuchara!
Hold still so Kaga can get a good shot,Quédate quieta para que Kaga pueda disparar mejor.
Ahhhgh! Miserable human! I am blind!,¡Ahhhgh! ¡Miserable humana! ¡Estoy ciego!
"You are stupid, human!","¡Eres estúpida, humana!"
You will not kill me!,¡No me matarás!
We are Chosen! You die later!,¡Somos los Elegidos! ¡Morirás más tarde!
"Those who bother Chosen, bother no one again!","¡Los que estorban a los Elegidos, no vuelven a estorbar a nadie más!"
Human weapons cannot harm me!,¡Las armas humanas no pueden dañarme!
"You will suffer, suffer great!","¡Sufrirás, y mucho!"
"When I fight, I kill!","¡Cuando yo peleo, mato!"
Who is stupid enough to anger us?,¿Quién es lo suficientemente estúpido como para enojarnos?
I see enemies to destroy!,¡Veo enemigos a los que destruir!
Now you die,Ahora morirás.
Now you die burning death!,¡Ahora morirás con mucho sufrimiento!
Die Human Fool!,"¡Muere, insensata humana!"
Now you die a screaming death,Ahora tendrás una dolorosa muerte.
You cannot fight the Chosen!,¡No puedes luchar contra los Elegidos!
"Suffer, human!","¡Sufre, humana!"
Is that best humans can do!,¡¿Es eso lo mejor que los humanos pueden hacer?!
You have no power!,¡No tienes poder!
We are the Chosen!,¡Somos los Elegidos!
I've got one hell of a headache.,Ahora tengo un maldito dolor de cabeza.
I can do head shots too you know!,¡Yo también puedo hacer daño a la cabeza!
Arrrgh! Dizzy...,¡Arrrgh! Siento mareos...
I don't need both arms to ruin your day!,¡No necesito los dos brazos para arruinarte el día!
I don't use that arm anyway.,De todos modos no usaba ese brazo.
"One arm down, one to go!","¡Un brazo menos, queda otro!"
"Hey, that's my fighting arm!","¡Oye, ese es mi brazo de pelear!"
Damn that arm hurts!,"¡Maldición, ese brazo duele!"
I can take the likes of you with only one arm.,Puedo destriparte sin necesidad de dos brazos.
Right arm... arrgh!,¡Mi brazo derecho... argggghh!
You hit my arm. I tear off your arm!,"¡Me has herido el brazo, y yo te arrancaré el tuyo!"
Umph... can't... breathe.,Umph... no puedo... respirar.
Ouch! I hate gut shots.,¡Ouch! Odio los disparos al estómago.
Solar plexus... eegad that hurts!,Mi plexo solar... ¡eso sí que duele!
Is this a fight or are you just trying to get my attention?,¿Esto es una pelea o sólo quieres llamar mi atención?
Let me know if that was supposed to hurt. I'll cry for you.,Hazme saber si eso tendría que haber dolido. Lloraré por ti.
Did your mama teach you how to fight?,¿Tu mamá te enseñó a pelear?
Oh the pain (yawn). Please don't hurt me any more.,"Oh, el dolor (bostezo). Por favor, no me lastimes más."
You call that a hit. Let me show you how it's done!,Llamas a eso golpe. ¡Déjame mostrarte como se hace!
I'm going to kick your ass for that one.,Te patearé el culo por eso.
Whoa! That stings a bit.,¡Oye! Eso ha dolido un poquito.
I left the vault for this!?,¿¡Dejé el Refugio por esto!?
I'm going to need a vacation.,Voy a necesitar vacaciones.
Yeeeouch! That hurts!,¡Yeeeouch! ¡Eso duele!
That didn't hurt at all,Eso no dolió nada.
Where's a stimpak when you need one?,¿Donde están los estimulantes cuando los necesitas?
"As soon as I can move again, you've had it","Vas a ver, en cuanto pueda volver a moverme."
I am impervious to pain!,¡Soy inmune al dolor!
I'll miss that leg...,Echaré de menos esa pierna...
Damn it! The leg...,¡Maldita sea! La pierna...
Not the leg... can't walk right as it is.,La pierna no... no podré caminar así.
"You cripple my leg, I cripple your leg.","Me has quebrado mi pierna, yo te quebraré la tuya."
Arrggh! That knee hurts!,¡Arrggh! ¡Esa rodilla duele!
Not the eyes!,¡No en los ojos!
"I can't see you, but I can smell you.","No puedo verte, pero puedo oírte."
I'm going to need glasses after that one!,¡Necesitaré gafas después de esto!
The groin is such a cheap shot!,¡En la ingle es un disparo rastrero!
No... hitting... below... the belt!,¡No... dispares... debajo... de la cintura!
That's fighting dirty. How about if I hit you in the crotch?,Eso es pelear sucio. ¿Qué tal si yo te pego en la entrepierna?
I HATE groin shots! Unngh...,¡ODIO los disparos en la ingle! Unngh...
Crotch shot... good thing I'm not human!,¡Un disparo en la entrepierna!... ¡menos mal que no soy humano!
I'm leaving!,¡Yo me voy!
Feet don't fail me now!,"¡Pies, no me falléis ahora!"
"Out of the way, I'm moving out!","Fuera del camino, quiero pasar!"
"I'm not retreating, this is a strategic withdrawal.","No me estoy retirando, me estoy reposicionando estratégicamente."
I've had enough of this shit!,¡Ya he tenido suficiente de esta mierda!
Come here so I can hit you!,¡Ven aquí para que pueda golpearte!
You're all mine!,¡Eres mía!
It's you or me... and I vote you!,O tú o yo... ¡ y voto por ti!
It's your funeral!,¡Es tu funeral!
Prepare to meet your doom!,¡Prepárate a encontrarte con tu perdición!
Best kiss your ass goodbye while you still can.,Dile adiós a tu culo mientras aún puedes.
I'm going to paint you red!,¡Te haré sangrar por todos los poros!
It's party time!,¡Hora de la fiesta!
I'm heading in!,¡Vamos a ello!
I'll see you on the front line!,¡Te veré en primera línea!
Advance and annihilate!,¡Avanzar y aniquilar!
I'm going to fall on you like ugly on a human!,¡Voy a caer sobre ti como el horror sobre un humano!
Incoming!,¡Atacando!
Locked on target and homing!,¡Blanco adquirido!
There's a storm coming!,¡Se avecina tormenta!
I'm going to hurt you... bad!,¡Te haré daño... y mucho!
This is going to hurt you a lot more than it does me!,¡Te dolerá mucho más que a mí!
Do unto others before they do unto you!,¡Hazlo a los demás antes de que te lo hagan a ti!
"If there's a part of you that doesn't hurt, it's next!","¡Si hay alguna parte de tu cuerpo que no te duela, será para la próxima!"
I hope you're enjoying this as much as I am!,¡Espero que estés disfrutando tanto como yo!
Did that hurt? If not I can do it harder next time.,"¿Te ha dolido? Si no lo ha hecho, puedo golpear más duramente la próxima vez."
It'll take more than a stimpak to fix you when I'm done.,Vas a necesitar más de un estimulante para curarte cuando termine contigo.
I hope you have medical insurance. You're going to need it.,Espero que tengas seguro médico. Lo vas a necesitar.
"Here a rip, there a rip, everywhere a rip rip...","Rotura por aquí, rotura por allá, roturas en todas partes..."
"I don't care who started it, I intend to finish it!","¡Me da igual quién empezó esto, pero voy a terminarlo!"
"I love the sound of tearing flesh, don't you?","Me encanta el sonido de la carne desgarrándose, ¿y a ti?"
"Just warming up, the best is yet to come.","Sólo estoy calentando, lo mejor viene ahora."
Ooops! Hope you didn't need that!,¡Ups! ¡Espero que no necesitaras eso!
If you fall over and stay there I'll go away!,¡Si te caes y te quedas ahí me iré!
"Oh God, oh God, oh God....","Oh Dios, oh Dios, oh Dios..."
And I wanted a family too.,¡Ooorp! ¡Auuuww!
Why there? Why?,"Duele, duele..."
That wasn't fair.,¿Por qué ahí? ¿Por qué?
"Hey, I part my hair on the *other* side.",¡Veo las estrellas!
"Hah, at least you didn't hit anything important.",¿Quién ha apagado la luz?
"My arm hurts, it's a bad one.",¡Aggghhh! ¡Mi brazo!
My arm's all tore up.,¡Mi brazo!
"My arm's broken, here...and here....","Oh, ¡eso duele!"
"Someone bend my arm back, pleeeeeaassee?!?","Mi brazo se ha roto, aquí... y aquí..."
My thumb's been ripped right off my hand!,"El hueso se me ha salido fuera del brazo, arrrrrgghhh."
I'll never write that novel now.,¡Mi brazo!
"Unh, you tore my arm backwards.",¡Arrrrgh! ¡Ayúdame a encontrar mis dedos!
"Not the arm, why my arm?",¡Me has roto el brazo!
"My kneecap's just gone man, gone.","Mi rótula ya no está, tía."
Just call me stumpy.,Ahora puedes llamarme cojo.
Only a worm like you would try for a gut-wound.,Sólo una gusanaza como tú intentaría hacer una herida en las tripas.
Fuck! You bastard!,¡Joder! ¡Zorra!
"You prick, you blinded me!","¡Zorra, me has dejado ciego!"
Fucking coward!,¡Maldita cobarde!
"Do that again, pig.","Hazlo otra vez, cerda."
That the best you can do?,¿Eso es lo mejor que sabes hacer?
You stupid bastard. Now I'll kill you slow.,Estúpida zorra. Ahora te mataré lentamente.
"Ripped my fucking leg open, you bastard!","¡Me has destrozado la pierna, puta!"
Whatta fuckin' sissy you are.,Qué pedazo de hijaputa eres.
"You cretin, I'm gonna neuter you.","Cretina, voy a castrarte."
Heeeeelp! There's a psycho on the loose!,¡Socorro! ¡Hay una psicópata suelta!
You aren't that good after all.,"Después de todo, no eres tan buena."
You're one nasty motherfucker!,¡Eres una sucia hija de puta!
"I'm bad, but you're the baddest.","Yo soy malo, pero tú eres la peor."
"Welcome to the major leagues, rookie.","Bienvenido a las ligas mayores, novata."
Let's see what you're really made of.,Veamos de qué pasta estás hecha.
"Take the pain, motherfucker!","¡Aguanta el dolor, hija de puta!"
You're not as good as you think.,No eres tan buena como crees.
Pathetic.,Patética.
You're just a common thug.,Sólo eres una matona del montón.
You're just a fuckin' clown.,Eres una maldita payasa.
This your first time kid?,"¿Es tu primera vez, chica?"
"Hold it right there, I'll be back in a few.","Espera aquí quieta, volveré dentro de poco."
Stand still and I'll get this over real quick for you.,Quédate quieta y esto acabará enseguida.
"Ever see a skull open up like that, man?","¿Alguna vez has visto un cráneo abierto de esa manera, amiga?"
You're one sorry motherfucker!,¡Eres una triste hija de puta!
You got the shakes don'tcha kid?,"Estás temblando, ¿verdad, chavala?"
Hit me! Come on you fucking wimp! Hit me!,"¡Dame! ¡Vamos, maldita debilucha! ¡Dame!"
Jump-claw with Keeng Ra'at.,Keeng desgarrar.
None shall pass.,No... puedes... ¡pasar!
*Hrkkkk*...fucker just scalped me...,*Hrkkkk*... lal cabrona acaba de arrancarme el cuero cabelludo...
Got me in the fucking arm...!,¡Me han alcanzado el maldito brazo...!
Argghhh! Sonuvabitch...,¡Argghhh! Hijaputa...
Shit...this tribal hits like the Masticator...,Mierda... esta tribal golpea como el Masticador...
"You got lucky, shithead...","Has tenido suerte, putón..."
Below the belt! Son of a bitch...!,¡Un golpe bajo! ¡Hija de la gran puta...!
"Uh, draw, Pilgrim-that's how you say it isn't it?","Eh, desenfunda, Peregrina... se dice así, ¿verdad?"
Leave the earthman to me! Always wanted to say that.,¡Dejadme al terrícola a mí! Siempre quise decir eso.
"You'll pay for that, you groin-kicking bitch!","¡Pagarás por esto, puta pateabajos!"
Gonna beat you until you're ugly...,Voy a golpearte hasta volverte fea...
Looks like we got a blindman here...,Parece que tenemos a una cegata por aquí...
You got nothing!,¡No vales nada!
Slow...,Lenta...
"If AHS-9 says you're bad, you must be bad.","Si OZ-9 dice que eres mala, entonces debes ser mala."
You are a ruthless killer!,¡Eres una asesina despiadada!
Did you know you're worth more dead than alive?,¿Sabías que vales más muerta que viva?
Do you feel lucky?,¿Te sientes afortunada hoy?
"Spirits want out of skull, oh mahn de skull hurt!","¡Espíritus quieren salir de calavera, oh miga, calavera duele!"
